Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Ascension totale,Descente totale,Longueur moyenne des foulées,Cadence de course moyenne,Cadence de course maximale,Training Stress Score® (TSS®),Pas,Consommation du Body Battery,Décompression,Temps du meilleur circuit,Nombre de tours,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Course à pied,2026-03-29 18:53:38,false,"Genech Course à pied","6.72","351","00:38:05","159","175","177","191","5:40","4:51","33","31","1.00","--","--","0.0","6,722","'-7","Non","00:03:43.1","7","00:38:04","00:38:05","30","54"
Course à pied,2026-03-18 12:18:03,false,"Genech Course à pied","6.01","304","00:31:00","169","188","176","187","5:10","4:08","27","27","1.10","--","--","0.0","5,504","'-11","Non","00:00:01.8","7","00:30:57","00:32:20","30","47"
Course à pied,2026-03-17 19:56:46,false,"Genech Course à pied","4.85","233","00:35:20","126","163","166","184","7:17","4:33","20","18","0.82","--","--","0.0","5,876","'-5","Non","00:04:04.8","5","00:35:09","00:40:26","43","61"
Course à pied,2026-03-15 10:31:31,false,"Genech Course à pied","8.21","444","00:49:39","156","178","175","183","6:03","5:05","39","37","0.95","--","--","0.0","8,672","'-13","Non","00:01:06.5","9","00:49:31","00:49:46","30","61"
Course à pied,2026-03-06 12:20:23,false,"Genech Course à pied","7.01","367","00:47:25","143","167","169","179","6:46","5:15","33","34","0.87","--","--","0.0","8,022","'-11","Non","00:00:04.0","8","00:47:24","00:47:25","31","54"
Course à pied,2026-03-04 17:42:45,false,"Villeneuve-d'Ascq Course à pied","13.03","708","01:15:56","164","177","172","180","5:50","5:12","65","63","1.00","--","--","0.0","13,114","'-13","Non","00:00:12.8","14","01:15:53","01:15:56","20","41"
Course à pied,2026-03-01 15:16:04,false,"Genech Course à pied","21.22","1,111","01:59:17","162","184","179","190","5:37","4:35","95","96","0.99","--","--","0.0","21,308","'-27","Non","00:01:05.5","22","01:59:11","02:03:57","32","73"
Course à pied,2026-02-25 17:43:12,false,"Attiches Course à pied","5.02","249","00:36:47","127","167","167","182","7:20","4:41","11","11","0.82","--","--","0.0","6,130","'-5","Non","00:00:04.4","6","00:36:43","00:37:00","53","66"
Course à pied,2026-02-25 12:20:14,false,"Genech Course à pied","6.01","311","00:33:19","159","175","174","181","5:33","4:35","22","23","1.04","--","--","0.0","5,756","'-10","Non","00:00:02.8","7","00:33:16","00:33:19","30","47"
Course à pied,2026-02-24 19:48:51,false,"Genech Course à pied","8.82","434","01:10:25","121","155","162","177","7:59","4:57","42","42","0.77","--","--","0.0","11,496","'-8","Non","00:04:30.6","9","01:09:33","01:15:20","32","61"
Course à pied,2026-02-22 15:42:04,false,"Raismes Course à pied","12.16","688","01:30:57","144","187","154","246","7:29","4:24","302","303","0.86","--","--","0.0","14,240","'-14","Non","00:00:59.2","13","01:29:40","01:45:08","19","85"
Course à pied,2026-02-20 18:00:13,false,"Genech Course à pied","7.55","395","00:41:58","163","182","178","238","5:33","4:15","31","30","1.01","--","--","0.0","7,450","'-10","Non","00:02:35.9","8","00:41:56","00:42:01","32","61"
Course à pied,2026-02-18 12:24:09,false,"Genech - Fractionné 30/30","5.86","303","00:36:32","149","186","166","214","6:14","2:42","26","25","0.96","--","--","0.0","6,026","'-11","Non","00:00:30","34","00:36:28","00:36:47","30","47"
Course à pied,2026-02-17 18:35:57,false,"Genech - EF Max 150bpm","9.28","477","01:02:12","138","150","171","180","6:42","5:55","36","35","0.87","--","--","0.0","10,602","'-12","Non","00:00:02.9","11","01:02:10","01:02:13","32","61"
Course à pied,2026-02-14 11:04:40,false,"Libercourt - Terril libercourt","15.53","819","01:39:30","150","165","168","187","6:24","4:53","171","173","0.92","--","--","0.0","16,864","'-22","Non","00:00:01.6","24","01:39:17","01:39:31","28","55"
Course à pied,2026-02-11 18:50:41,false,"Genech Course à pied","11.43","618","01:06:03","163","182","177","192","5:47","4:12","64","64","0.98","--","--","0.0","11,690","'-15","Non","00:02:21.2","12","01:05:58","01:06:10","32","61"
Course à pied,2026-02-08 13:12:09,false,"Genech Course à pied","10.12","526","01:05:59","142","157","176","188","6:31","5:47","43","43","0.87","--","--","0.0","11,580","'-11","Non","00:00:40.8","11","01:05:56","01:06:04","30","57"
Course à pied,2026-02-06 17:35:14,false,"Genech Course à pied","10.31","541","00:56:41","165","186","178","192","5:30","4:06","51","50","1.02","--","--","0.0","10,102","'-14","Non","00:01:48.9","11","00:56:39","00:59:01","30","61"
Course à pied,2026-02-04 12:26:42,false,"Genech - Fractionné 30/30","6.04","329","00:39:22","154","187","167","207","6:31","3:12","22","24","0.91","--","--","0.0","6,496","'-9","Non","00:00:30","34","00:39:19","00:39:22","30","47"
Course à pied,2026-02-03 19:54:10,false,"Genech Course à pied","9.82","473","01:15:39","124","153","165","190","7:42","4:04","45","45","0.78","--","--","0.0","12,530","'-9","Non","00:03:45.2","10","01:14:52","01:28:40","32","61"
Course à pied,2026-02-01 11:05:24,false,"Genech Course à pied","15.20","792","01:30:22","154","171","179","188","5:57","5:10","75","73","0.94","--","--","0.0","16,102","'-20","Non","00:01:10.5","16","01:30:18","01:30:22","32","61"
Course à pied,2026-01-30 17:14:48,false,"Genech Course à pied","10.46","560","01:01:55","158","178","177","190","5:55","4:38","48","47","0.95","--","--","0.0","10,978","'-11","Non","00:02:33.8","11","01:01:54","01:01:55","30","61"
Course à pied,2026-01-28 12:24:47,false,"Genech - Fractionné 30/30","5.83","308","00:36:57","151","187","169","233","6:21","3:12","24","25","0.93","--","--","0.0","6,130","'-9","Non","00:00:30","34","00:36:55","00:36:57","30","47"
Course à pied,2026-01-25 11:21:56,false,"Libercourt Course à pied","16.51","894","01:42:23","154","172","176","220","6:12","4:58","99","101","0.92","--","--","0.0","18,012","'-21","Non","00:02:57.4","17","01:42:13","01:42:39","27","64"
Cyclisme,2026-01-24 14:54:08,false,"Genech Cyclisme","25.47","494","01:10:25","143","187","--","--","21.7","39.0","86","84","--","--","--","0.0","--","'-14","Non","00:01:11.0","6","01:09:50","01:10:25","29","72"
Course à pied,2026-01-22 19:55:53,false,"Genech Course à pied","7.23","366","00:45:24","140","153","169","178","6:17","5:28","30","28","0.94","--","--","0.0","7,704","'-9","Non","00:01:27.5","8","00:45:11","00:59:59","32","61"
Course à pied,2026-01-20 19:41:26,false,"Genech Course à pied","9.87","521","01:01:00","149","169","173","186","6:11","5:05","48","46","0.94","--","--","0.0","10,508","'-14","Non","00:04:53.2","10","01:00:53","01:08:34","32","61"
Course à pied,2026-01-18 11:11:13,false,"Libercourt - Entraînement course à pied","21.22","1,121","02:25:08","148","185","164","197","6:51","4:39","245","248","0.89","--","--","0.0","23,978","'-30","Non","00:03:30.8","27","02:23:58","02:25:11","27","55"
Course à pied,2026-01-15 18:09:23,false,"Genech Course à pied","10.01","529","01:00:22","155","173","173","184","6:02","4:47","51","50","0.96","--","--","0.0","10,398","'-10","Non","00:00:03.5","11","01:00:19","01:00:22","41","61"
